T_K,xi_pi,u,alpha_c,beta_c
0.0000000000e+00,3.3295739348e-01,6.6704260652e-01,1.4789709746e-01,1.1164105238e-04
0.0000000000e+00,3.3233082707e-01,6.6766917293e-01,1.4747679306e-01,2.9882962783e-04
0.0000000000e+00,3.3170426065e-01,6.6829573935e-01,1.4705412725e-01,4.8742352860e-04
0.0000000000e+00,3.3107769424e-01,6.6892230576e-01,1.4662909634e-01,6.7742868933e-04
0.0000000000e+00,3.3045112782e-01,6.6954887218e-01,1.4620169662e-01,8.6885105952e-04
0.0000000000e+00,3.2982456140e-01,6.7017543860e-01,1.4577192442e-01,1.0616966035e-03
0.0000000000e+00,3.2919799499e-01,6.7080200501e-01,1.4533977605e-01,1.2559713006e-03
0.0000000000e+00,3.2857142857e-01,6.7142857143e-01,1.4490524781e-01,1.4516811448e-03
0.0000000000e+00,3.2794486216e-01,6.7205513784e-01,1.4446833602e-01,1.6488321452e-03
0.0000000000e+00,3.2731829574e-01,6.7268170426e-01,1.4402903698e-01,1.8474303257e-03
0.0000000000e+00,3.2669172932e-01,6.7330827068e-01,1.4358734701e-01,2.0474817253e-03
0.0000000000e+00,3.2606516291e-01,6.7393483709e-01,1.4314326242e-01,2.2489923978e-03
0.0000000000e+00,3.2543859649e-01,6.7456140351e-01,1.4269677951e-01,2.4519684121e-03
0.0000000000e+00,3.2481203008e-01,6.7518796992e-01,1.4224789460e-01,2.6564158521e-03
0.0000000000e+00,3.2418546366e-01,6.7581453634e-01,1.4179660399e-01,2.8623408165e-03
0.0000000000e+00,3.2355889724e-01,6.7644110276e-01,1.4134290400e-01,3.0697494192e-03
0.0000000000e+00,3.2293233083e-01,6.7706766917e-01,1.4088679094e-01,3.2786477893e-03
0.0000000000e+00,3.2230576441e-01,6.7769423559e-01,1.4042826112e-01,3.4890420707e-03
0.0000000000e+00,3.2167919799e-01,6.7832080201e-01,1.3996731085e-01,3.7009384226e-03
0.0000000000e+00,3.2105263158e-01,6.7894736842e-01,1.3950393643e-01,3.9143430190e-03
